==================================================================================================
                      Magnetopause Position Analysis
==================================================================================================
 Time(min)  Nose_Dist(Re)  Subsolar_Dist(Re)  Nose_X(Re)   Nose_Y(Re)   Nose_Z(Re)  Deviation(Re)
    202.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    203.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    204.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    205.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    206.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    207.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    208.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    209.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    210.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    211.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    212.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    213.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    214.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    215.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    216.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    217.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    218.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    219.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    220.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    221.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    222.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    223.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    224.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    225.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    226.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    227.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    228.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    229.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
